Date,Price,Open,High,Low,Vol.,Change %
2021-09-29,1,1,1,1,0.01K,0.00%
2021-09-28,1,1,1,1,0.13K,-100.00%
2021-09-27,"823,000","820,000","830,000","820,000",0.10K,0.66%
2021-09-24,"817,570","820,000","820,000","810,000",0.86K,-0.23%
2021-09-23,"819,440","819,000","820,000","819,000",56.06K,-0.07%
2021-09-22,"820,000","820,000","820,000","819,990",0.59K,0.12%
2021-09-21,"819,000","819,000","819,000","819,000",0.64K,-0.12%
2021-09-20,"820,000","820,000","820,000","820,000",0.03K,-0.02%
2021-09-17,"820,150","839,000","839,000","820,000",0.75K,-2.31%
2021-09-16,"839,510","840,000","840,000","838,990",0.04K,0.87%
2021-09-15,"832,310","830,000","839,990","830,000",0.05K,1.50%
2021-09-14,"820,000","820,000","820,000","819,990",0.26K,0.00%
2021-09-13,"820,000","820,000","820,000","820,000",0.58K,1.23%
2021-09-10,"810,000","810,000","810,000","810,000",0.06K,1.25%
2021-09-09,"800,000","800,000","800,000","800,000",0.71K,1.73%
2021-09-08,"786,360","775,000","800,000","775,000",0.34K,-1.91%
2021-09-07,"801,700","850,000","850,000","800,000",0.82K,-5.71%
2021-09-06,"850,270","860,000","860,000","850,000",0.04K,2.40%
2021-09-03,"830,340","829,000","850,000","829,000",3.40K,-0.19%
2021-09-02,"831,920","850,000","850,000","830,000",0.18K,-2.13%
2021-09-01,"850,000","850,000","850,000","850,000",0.09K,0.00%
2021-08-31,"850,010","850,010","850,010","850,000",1.33K,-0.29%
2021-08-27,"852,500","880,000","880,000","850,000",7.86K,0.69%
2021-08-26,"846,650","870,000","870,000","750,000",10.59K,-2.83%
2021-08-25,"871,300","874,900","874,900","870,000",0.57K,-0.35%
2021-08-24,"874,320","850,000","874,990","850,000",2.16K,3.19%
2021-08-23,"847,280","825,000","850,000","825,000",3.73K,2.68%
2021-08-20,"825,130","840,000","840,000","825,000",1.55K,4.70%
2021-08-19,"788,060","770,000","800,000","770,000",7.91K,4.93%
2021-08-18,"751,050","740,000","770,000","740,000",1.14K,1.49%
2021-08-17,"740,000","740,000","740,000","740,000",6.61K,-1.33%
2021-08-16,"750,000","750,000","750,000","750,000",0.00K,1.32%
2021-08-13,"740,240","750,000","750,000","740,000",3.19K,0.03%
2021-08-12,"740,000","740,000","740,000","740,000",0.10K,-0.28%
2021-08-11,"742,060","750,000","750,000","740,000",2.59K,0.15%
2021-08-10,"740,940","750,000","750,000","740,000",0.63K,-0.54%
2021-08-09,"745,000","745,000","745,000","745,000",0.11K,-0.67%
2021-08-06,"750,000","750,000","750,000","750,000",0.46K,1.27%
2021-08-05,"740,620","725,000","750,000","725,000",3.24K,-1.06%
2021-08-04,"748,560","750,000","750,000","745,000",1.22K,-0.19%
2021-08-03,"750,000","750,000","750,000","750,000",0.11K,0.00%
2021-08-02,"750,000","750,000","750,000","750,000",0.49K,-0.42%
2021-07-30,"753,180","785,000","785,000","750,000",0.11K,-3.55%
2021-07-28,"780,930","780,000","785,000","780,000",7.60K,0.12%
2021-07-27,"780,000","780,000","780,000","780,000",10.73K,2.59%
2021-07-26,"760,300","759,000","780,000","759,000",26.82K,-0.87%
2021-07-23,"767,010","750,000","780,000","750,000",1.02K,9.57%
2021-07-22,"700,000","700,000","700,000","700,000",0.40K,-0.80%
2021-07-21,"705,680","750,000","750,000","700,000",0.36K,-6.05%
2021-07-20,"751,150","750,000","752,000","730,000",15.07K,4.23%
2021-07-19,"720,680","752,000","752,000","720,000",9.64K,0.09%
2021-07-16,"720,000","720,000","720,000","720,000",836.83K,3.94%
2021-07-15,"692,700","655,000","720,000","655,000",14.19K,10.23%
2021-07-14,"628,420","650,000","650,000","605,000",6.17K,4.74%
2021-07-13,"600,000","600,000","600,000","600,000",0.28K,3.45%
2021-07-12,"580,000","580,000","580,000","580,000",0.49K,0.35%
2021-07-09,"578,000","575,000","600,000","575,000",6.20K,-0.50%
2021-07-07,"580,930","600,000","600,000","541,000",0.28K,-4.89%
2021-07-06,"610,780","650,000","650,000","600,000",1.76K,-5.90%
2021-07-02,"649,100","645,000","650,000","645,000",0.30K,0.64%
2021-07-01,"645,000","645,000","645,000","645,000",2.20K,6.07%
2021-06-30,"608,090","600,000","645,000","600,000",4.63K,1.36%
2021-06-29,"599,910","560,000","600,000","560,000",2.18K,7.13%
2021-06-25,"560,000","560,000","560,000","560,000",0.80K,11.90%
2021-06-23,"500,440","535,000","535,000","500,000",2.23K,-7.59%
2021-06-22,"541,560","559,000","559,000","535,000",0.95K,-3.29%
2021-06-21,"560,000","560,000","560,000","560,000",1.50K,0.07%
2021-06-18,"559,600","530,000","575,000","530,000",3.22K,8.03%
2021-06-15,"518,010","590,000","590,000","500,010",0.02K,-12.47%
2021-06-11,"591,830","595,000","595,000","590,000",0.26K,-0.41%
2021-06-10,"594,240","595,000","595,000","590,000",67.99K,0.13%
2021-06-09,"593,480","590,000","595,000","590,000",0.53K,-1.09%
2021-06-08,"599,990","599,990","599,990","599,980",0.58K,0.00%
2021-06-07,"599,990","600,000","600,000","599,990",0.31K,13.20%
2021-06-04,"530,040","530,000","630,000","530,000",14.09K,0.02%
2021-06-03,"529,960","500,000","530,000","500,000",1.61K,-0.13%
