"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2021","2","2","2","2","3.23K","0.00%"
"Dec 02, 2021","2","2","2","2","2.03K","0.00%"
"Dec 01, 2021","2","2","2","2","2.53K","0.00%"
"Nov 30, 2021","2","2","2","2","0.60K","0.00%"
"Nov 29, 2021","2","2","2","2","5.12K","0.00%"
"Nov 26, 2021","2","2","2","2","9.62K","0.00%"
"Nov 25, 2021","2","2","2","2","2.91K","0.00%"
"Nov 24, 2021","2","2","2","2","4.11K","0.00%"
"Nov 23, 2021","2","2","2","2","64.25K","0.00%"
"Nov 19, 2021","2","2","2","2","8.63K","0.00%"
"Nov 18, 2021","2","2","2","2","13.88K","0.00%"
"Nov 17, 2021","2","2","2","2","5.90K","0.00%"
"Nov 16, 2021","2","2","2","2","2.56K","0.00%"
"Nov 15, 2021","2","2","2","2","0.19K","0.00%"
"Nov 12, 2021","2","2","2","2","4.64K","0.00%"
"Nov 11, 2021","2","2","2","2","2.49K","0.00%"
"Nov 10, 2021","2","2","2","2","0.14K","0.00%"
"Nov 09, 2021","2","2","2","2","0.90K","0.00%"
"Nov 08, 2021","2","2","2","2","3.90K","0.00%"
"Nov 05, 2021","2","2","2","2","4.61K","0.00%"
"Nov 04, 2021","2","2","2","2","6.78K","0.00%"
"Nov 03, 2021","2","2","2","2","2.30K","0.00%"
"Nov 02, 2021","2","2","2","2","3.40K","0.00%"
"Oct 29, 2021","2","2","2","2","6.55K","0.00%"
"Oct 28, 2021","2","2","2","2","9.27K","0.00%"
"Oct 27, 2021","2","2","2","2","3.42K","0.00%"
"Oct 26, 2021","2","2","2","2","5.20K","0.00%"
"Oct 25, 2021","2","2","2","2","3.23K","0.00%"
"Oct 22, 2021","2","2","2","2","8.07K","0.00%"
"Oct 21, 2021","2","2","2","2","4.91K","0.00%"
"Oct 20, 2021","2","2","2","2","2.39K","0.00%"
"Oct 19, 2021","2","2","2","2","4.42K","0.00%"
"Oct 18, 2021","2","2","2","2","3.15K","0.00%"
"Oct 15, 2021","2","2","2","2","2.08K","0.00%"
"Oct 14, 2021","2","2","2","2","1.95K","0.00%"
"Oct 13, 2021","2","2","2","2","0.64K","0.00%"
"Oct 11, 2021","2","2","2","2","2.78K","0.00%"
"Oct 07, 2021","2","2","2","2","2.00K","0.00%"
"Oct 06, 2021","2","2","2","2","9.20K","0.00%"
"Oct 05, 2021","2","2","2","2","2.11K","0.00%"
"Sep 29, 2021","2","2","2","2","2.53K","0.00%"
"Sep 28, 2021","2","2","2","2","1.39K","-100.00%"
"Sep 27, 2021","1,850,000","1,850,000","1,850,000","1,850,000","2.48K","0.00%"
"Sep 24, 2021","1,850,000","1,850,000","1,850,000","1,849,990","1.16K","-0.54%"
"Sep 23, 2021","1,860,090","1,900,000","1,900,000","1,851,000","58.40K","-2.58%"
"Sep 22, 2021","1,909,330","1,900,000","1,925,000","1,900,000","0.08K","-0.74%"
"Sep 21, 2021","1,923,660","1,925,000","1,950,000","1,855,000","1.08K","-2.11%"
"Sep 20, 2021","1,965,060","1,970,000","1,970,000","1,900,000","1.24K","1.01%"
"Sep 17, 2021","1,945,480","1,900,000","1,970,000","1,900,000","2.85K","-1.07%"
"Sep 16, 2021","1,966,540","2,000,000","2,000,000","1,900,000","1.09K","-1.40%"
